"filename", "language", "JavaScript", "JSON", "JavaScript React", "CSS", "Markdown", "HTML", "comment", "blank", "total"
"d:\LIMS\config\db.js", "JavaScript", 9, 0, 0, 0, 0, 0, 20, 2, 31
"d:\LIMS\controllers\auth.js", "JavaScript", 143, 0, 0, 0, 0, 0, 6, 16, 165
"d:\LIMS\controllers\patient.js", "JavaScript", 165, 0, 0, 0, 0, 0, 0, 36, 201
"d:\LIMS\controllers\tests.js", "JavaScript", 438, 0, 0, 0, 0, 0, 1, 100, 539
"d:\LIMS\dashboard\README.md", "Markdown", 0, 0, 0, 0, 38, 0, 0, 33, 71
"d:\LIMS\dashboard\package-lock.json", "JSON", 0, 16591, 0, 0, 0, 0, 0, 1, 16592
"d:\LIMS\dashboard\package.json", "JSON", 0, 51, 0, 0, 0, 0, 0, 1, 52
"d:\LIMS\dashboard\public\index.html", "HTML", 0, 0, 0, 0, 0, 23, 4, 2, 29
"d:\LIMS\dashboard\public\manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 1, 26
"d:\LIMS\dashboard\src\App.css", "CSS", 0, 0, 0, 19, 0, 0, 0, 3, 22
"d:\LIMS\dashboard\src\App.js", "JavaScript", 17, 0, 0, 0, 0, 0, 8, 1, 26
"d:\LIMS\dashboard\src\components\layout\CustomDrawer.jsx", "JavaScript React", 0, 0, 25, 0, 0, 0, 0, 8, 33
"d:\LIMS\dashboard\src\components\layout\Dashboard.jsx", "JavaScript React", 0, 0, 182, 0, 0, 0, 0, 18, 200
"d:\LIMS\dashboard\src\components\layout\Loginform.jsx", "JavaScript React", 0, 0, 57, 0, 0, 0, 0, 7, 64
"d:\LIMS\dashboard\src\components\layout\Topbar.jsx", "JavaScript React", 0, 0, 19, 0, 0, 0, 0, 3, 22
"d:\LIMS\dashboard\src\components\navigation\Dashnav.jsx", "JavaScript React", 0, 0, 57, 0, 0, 0, 15, 11, 83
"d:\LIMS\dashboard\src\components\pages\AddPatient.jsx", "JavaScript React", 0, 0, 184, 0, 0, 0, 1, 12, 197
"d:\LIMS\dashboard\src\components\pages\AddRole.jsx", "JavaScript React", 0, 0, 58, 0, 0, 0, 0, 8, 66
"d:\LIMS\dashboard\src\components\pages\AddRolePermission.jsx", "JavaScript React", 0, 0, 58, 0, 0, 0, 0, 8, 66
"d:\LIMS\dashboard\src\components\pages\AddTest.jsx", "JavaScript React", 0, 0, 138, 0, 0, 0, 1, 13, 152
"d:\LIMS\dashboard\src\components\pages\AddTestData.jsx", "JavaScript React", 0, 0, 127, 0, 0, 0, 1, 12, 140
"d:\LIMS\dashboard\src\components\pages\Login.jsx", "JavaScript React", 0, 0, 27, 0, 0, 0, 0, 3, 30
